master_client_id,client_name,created_at,confidence_level,status,updated_at
1,ANSR,2025-07-08 06:15:54.916057,25,Active Lead,2025-07-11 15:34:23.840351
2,Adani Green,2025-07-08 06:15:54.916057,10,Active Lead,2025-07-11 15:34:23.840351
5,Amartha,2025-07-08 06:15:54.916057,50,Active Lead,2025-07-11 15:34:23.840351
7,Axis Bank,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
8,BFI,2025-07-08 06:15:54.916057,25,Active Lead,2025-07-11 15:34:23.840351
9,CBA,2025-07-08 06:15:54.916057,30,Active Lead,2025-07-11 15:34:23.840351
10,FlyDubai,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
11,Gtech,2025-07-08 06:15:54.916057,25,Active Lead,2025-07-11 15:34:23.840351
12,Indigenesis,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
13,JSW Cement,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
16,London Stock Exchange Group,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
17,MPH,2025-07-08 06:15:54.916057,25,Active Lead,2025-07-11 15:34:23.840351
18,Malabar Gold,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
19,Micro Labs,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
20,NAB,2025-07-08 06:15:54.916057,0,Active Lead,2025-07-11 15:34:23.840351
22,Retail - F21 (Amit 1/5),2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
23,Sacoor Brothers,2025-07-08 06:15:54.916057,10,Active Lead,2025-07-11 15:34:23.840351
25,TBA LeadoC,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
26,TBA LeadoC 2,2025-07-08 06:15:54.916057,30,Active Lead,2025-07-11 15:34:23.840351
27,TBA Specmatic,2025-07-08 06:15:54.916057,30,Active Lead,2025-07-11 15:34:23.840351
21,Piramal,2025-07-08 06:15:54.916057,100,Active Lead,2025-08-14 05:01:19.862789
31,Toyota - TCIN,2025-07-08 06:15:54.916057,0,Active Lead,2025-07-11 15:34:23.840351
32,Vanderlande,2025-07-08 06:15:54.916057,20,Active Lead,2025-07-11 15:34:23.840351
33,Ventana Ventures,2025-07-08 06:15:54.916057,10,Active Lead,2025-07-11 15:34:23.840351
34,Wells Fargo,2025-07-08 06:15:54.916057,30,Active Lead,2025-07-11 15:34:23.840351
35,Westpac,2025-07-08 06:15:54.916057,30,Active Lead,2025-07-11 15:34:23.840351
3,Allianz,2025-07-08 06:15:54.916057,90,Active Lead,2025-07-11 15:34:23.840351
30,ThoughtWorks,2025-07-08 06:15:54.916057,70,Active Lead,2025-07-11 15:34:23.840351
6,Astra,2025-07-08 06:15:54.916057,81,Active Lead,2025-07-11 15:34:23.840351
36,XL Axiata,2025-07-08 06:15:54.916057,100,Active Lead,2025-07-11 15:34:23.840351
14,KPC,2025-07-08 06:15:54.916057,80,Active Lead,2025-07-11 15:34:23.840351
28,TTEC,2025-07-08 06:15:54.916057,60,Active Lead,2025-07-11 15:34:23.840351
15,Kedaara,2025-07-08 06:15:54.916057,50,Active Lead,2025-07-17 12:55:29.069868
24,Sprinto,2025-07-08 06:15:54.916057,81,Active Lead,2025-07-29 06:18:42.748369
4,Amaan Minarals,2025-07-08 06:15:54.916057,81,Active Lead,2025-07-29 06:35:08.415186
29,Tata Consumer,2025-07-08 06:15:54.916057,80,Active Lead,2025-07-11 15:34:23.840351
