id,role_id,group_id,created_date
1,1,1,2025-07-10 04:52:39.371337
2,2,2,2025-07-10 04:52:39.371337
5,3,4,2025-07-10 09:51:48.633784
6,1,4,2025-07-10 09:51:48.633784
7,2,5,2025-07-10 09:56:36.366114
8,1,6,2025-07-10 10:21:56.460516
9,4,6,2025-07-10 10:21:56.460516
10,3,6,2025-07-10 10:21:56.460516
15,4,8,2025-07-10 11:55:59.801561
16,3,8,2025-07-10 11:55:59.801561
17,1,8,2025-07-10 11:55:59.801561
18,2,8,2025-07-10 11:55:59.801561
19,4,9,2025-07-10 11:56:00.265915
20,3,9,2025-07-10 11:56:00.265915
21,1,9,2025-07-10 11:56:00.265915
22,2,9,2025-07-10 11:56:00.265915
23,4,10,2025-07-10 11:56:00.705400
24,3,10,2025-07-10 11:56:00.705400
25,1,10,2025-07-10 11:56:00.705400
26,2,10,2025-07-10 11:56:00.705400
27,3,3,2025-07-21 04:04:20.224407
31,1,7,2025-07-21 04:06:39.789549
32,2,7,2025-07-21 04:06:39.789549
